79.55,10.05
79.55,9.95
79.55,9.85
79.55,9.75
79.55,9.65
79.55,9.55
79.55,9.45
79.55,9.35
79.55,9.25
79.55,9.15
79.55,9.05
79.55,8.95
79.55,8.85
79.55,8.75
79.55,8.65
79.55,8.55
79.55,8.45
79.55,8.35
79.55,8.25
79.55,8.15
79.55,8.05
79.55,7.95
79.55,7.85
79.55,7.75
79.55,7.65
79.55,7.55
79.55,7.45
79.55,7.35
79.55,7.25
79.55,7.15
79.55,7.05
79.55,6.95
79.55,6.85
79.55,6.75
79.55,6.65
79.55,6.55
79.55,6.45
79.55,6.35
79.55,6.25
79.55,6.15
79.55,6.05
79.55,5.95
79.55,5.85
79.55,5.75
79.65,10.05
79.65,9.95
79.65,9.85
79.65,9.75
79.65,9.65
79.65,9.55
79.65,9.45
79.65,9.35
79.65,9.25
79.65,9.15
79.65,9.05
79.65,8.95
79.65,8.85
79.65,8.75
79.65,8.65
79.65,8.55
79.65,8.45
79.65,8.35
79.65,8.25
79.65,8.15
79.65,8.05
79.65,7.95
79.65,7.85
79.65,7.75
79.65,7.65
79.65,7.55
79.65,7.45
79.65,7.35
79.65,7.25
79.65,7.15
79.65,7.05
79.65,6.95
79.65,6.85
79.65,6.75
79.65,6.65
79.65,6.55
79.65,6.45
79.65,6.35
79.65,6.25
79.65,6.15
79.65,6.05
79.65,5.95
79.65,5.85
79.65,5.75
79.75,10.05
79.75,9.95
79.75,9.85
79.75,9.75
79.75,9.65
79.75,9.55
79.75,9.45
79.75,9.35
79.75,9.25
79.75,9.15
79.75,9.05
79.75,8.95
79.75,8.85
79.75,8.75
79.75,8.65
79.75,8.55
79.75,8.45
79.75,8.35
79.75,8.25
79.75,8.15
79.75,8.05
79.75,7.95
79.75,7.85
79.75,7.75
79.75,7.65
79.75,7.55
79.75,7.45
79.75,7.35
79.75,7.25
79.75,7.15
79.75,7.05
79.75,6.95
79.75,6.85
79.75,6.75
79.75,6.65
79.75,6.55
79.75,6.45
79.75,6.35
79.75,6.25
79.75,6.15
79.75,6.05
79.75,5.95
79.75,5.85
79.75,5.75
79.85,10.05
79.85,9.95
79.85,9.85
79.85,9.75
79.85,9.65
79.85,9.55
79.85,9.45
79.85,9.35
79.85,9.25
79.85,9.15
79.85,9.05
79.85,8.95
79.85,8.85
79.85,8.75
79.85,8.65
79.85,8.55
79.85,8.45
79.85,8.35
79.85,8.25
79.85,8.15
79.85,8.05
79.85,7.95
79.85,7.85
79.85,7.75
79.85,7.65
79.85,7.55
79.85,7.45
79.85,7.35
79.85,7.25
79.85,7.15
79.85,7.05
79.85,6.95
79.85,6.85
79.85,6.75
79.85,6.65
79.85,6.55
79.85,6.45
79.85,6.35
79.85,6.25
79.85,6.15
79.85,6.05
